オーダーID,オーダー日,顧客ID,商品ID,数量,売上,出荷日,キャンセル日,ステータス
202205310006-1,2022-05-31,C00002073,SB-CUNN,3,17670,2022-06-04,,配達済み
202205310008-1,2022-05-31,C00002142,PA-CMBL,3,42900,2022-06-04,,配達済み
202206010007-2,2022-06-01,C00000699,SK-AWGM,3,54300,2022-06-01,,配達済み
202206010026-2,2022-06-01,C00001828,PA-CWBL,1,14300,2022-06-03,,配達済み
202206010006-1,2022-06-01,C00000541,PA-BWWL,1,19800,2022-06-01,,配達済み
202206010022-1,2022-06-01,C00001799,JA-CWGM,1,22100,2022-06-02,,配達済み
202206010023-1,2022-06-01,C00001827,PA-CWWM,1,14300,2022-06-07,,配達済み
202206010013-1,2022-06-01,C00001142,TS-AWGL,1,8900,2022-06-02,2022-06-07,キャンセル
202206010021-1,2022-06-01,C00001722,SK-AWGL,1,18100,2022-06-04,,配達済み
202206010010-1,2022-06-01,C00001072,SW-CMBS,1,18400,2022-06-01,,配達済み
202206010017-1,2022-06-01,C00001470,PA-AMWM,1,16500,2022-06-06,,配達済み
202206010026-1,2022-06-01,C00001828,TS-CWBM,2,15200,2022-06-01,,配達済み
202206010007-1,2022-06-01,C00000699,TO-AUNN,1,2280,2022-06-01,,配達済み
202206010004-1,2022-06-01,C00000382,PA-BWGL,1,19800,2022-06-03,,配達済み
202206010015-1,2022-06-01,C00001211,SB-CUNN,1,5890,2022-06-03,,配達済み
202206010012-1,2022-06-01,C00001103,HA-BUNN,1,4800,2022-06-06,,配達済み
202206010018-1,2022-06-01,C00001536,PA-CWGS,1,14300,2022-06-01,,配達済み
202206010020-1,2022-06-01,C00001571,TS-BWWL,1,7600,2022-06-06,,配達済み
202206010023-2,2022-06-01,C00001827,NI-CWBM,1,12400,2022-06-07,,配達済み
202206010014-1,2022-06-01,C00001197,SK-AWBM,1,18100,2022-06-02,,配達済み
202206020030-2,2022-06-02,C00001155,HC-AUNN,1,1200,2022-06-05,,配達済み
202206020032-1,2022-06-02,C00001563,PA-AMGM,1,16500,2022-06-07,,配達済み
202206020018-1,2022-06-02,C00000841,TS-BWGS,1,7600,2022-06-07,,配達済み
202206020031-1,2022-06-02,C00001409,PA-CMBL,1,14300,2022-06-08,,配達済み
202206020014-1,2022-06-02,C00000728,TS-AWWL,1,8900,2022-06-04,,配達済み
202206020024-1,2022-06-02,C00000859,PA-BWBS,1,19800,2022-06-08,,配達済み
202206020013-1,2022-06-02,C00000701,PA-AMWM,1,16500,2022-06-07,,配達済み
202206020037-1,2022-06-02,C00001959,TS-BMWM,1,8700,2022-06-05,,配達済み
202206020039-1,2022-06-02,C00002025,PA-AMWL,1,16500,2022-06-09,2022-06-12,キャンセル
202206020027-1,2022-06-02,C00000864,TS-CWGS,1,7600,2022-06-07,,配達済み
202206020036-1,2022-06-02,C00001788,NI-AMGL,1,10000,2022-06-07,,配達済み
202206020015-1,2022-06-02,C00000796,NI-CWGL,1,12400,2022-06-07,,配達済み
202206020001-1,2022-06-02,C00000163,TB-BUNN,1,9800,2022-06-05,,配達済み
202206020003-1,2022-06-02,C00000359,PA-BMBL,2,40000,2022-06-05,,配達済み
202206020033-1,2022-06-02,C00001651,NI-CWBM,1,12400,2022-06-08,,配達済み
202206020041-1,2022-06-02,C00002100,JA-BMGL,1,19400,2022-06-05,,配達済み
202206020011-1,2022-06-02,C00000641,PA-AMBL,1,16500,2022-06-09,,配達済み
202206020030-1,2022-06-02,C00001155,NI-AWGS,2,22000,2022-06-07,,配達済み
202206020004-1,2022-06-02,C00000560,VE-AWWM,1,18900,2022-06-07,,配達済み
202206020019-1,2022-06-02,C00000850,BP-BUNN,2,19600,2022-06-04,,配達済み
202206020028-1,2022-06-02,C00000976,SW-BMBS,1,15900,2022-06-07,,配達済み
202206020009-1,2022-06-02,C00000570,NI-CMWS,1,12300,2022-06-07,,配達済み
202206030020-1,2022-06-03,C00001341,SK-AWWL,1,18100,2022-06-07,,配達済み
202206030008-1,2022-06-03,C00000389,PA-BMGM,1,20000,2022-06-06,,配達済み
202206030012-1,2022-06-03,C00000706,NI-BMBS,1,14500,2022-06-07,,配達済み
202206030005-1,2022-06-03,C00000316,HA-AUNN,1,5280,2022-06-10,,配達済み
202206030022-1,2022-06-03,C00001785,NI-AWBL,1,11000,2022-06-07,,配達済み
202206030023-1,2022-06-03,C00002071,HA-BUNN,1,4800,2022-06-09,,配達済み
202206030015-1,2022-06-03,C00000931,SB-AUNN,1,8800,2022-06-05,,配達済み
202206030021-1,2022-06-03,C00001717,SK-AWBM,1,18100,2022-06-09,,配達済み
202206030028-1,2022-06-03,C00002185,SB-CUNN,1,5890,2022-06-06,,配達済み
202206030010-1,2022-06-03,C00000684,PA-AMBM,1,16500,2022-06-07,,配達済み
202206030029-1,2022-06-03,C00002218,NI-AWWL,2,22000,2022-06-05,,配達済み
202206030029-2,2022-06-03,C00002218,NI-AWBL,1,11000,2022-06-06,,配達済み
202206030026-1,2022-06-03,C00002134,HC-BUNN,2,1960,2022-06-05,,配達済み
202206030014-1,2022-06-03,C00000825,CT-BMBL,1,38900,2022-06-08,,配達済み
202206030016-1,2022-06-03,C00001063,TS-AWBS,1,8900,2022-06-05,,配達済み
202206030018-1,2022-06-03,C00001183,PA-BWBM,2,39600,2022-06-09,,配達済み
202206040027-1,2022-06-04,C00001529,VE-BMBM,1,18000,2022-06-06,,配達済み
202206040032-1,2022-06-04,C00001697,SB-BUNN,1,6800,2022-06-08,,配達済み
202206040028-1,2022-06-04,C00001625,TO-AUNN,1,2280,2022-06-09,,配達済み
202206040003-1,2022-06-04,C00000300,TO-BUNN,1,2180,2022-06-07,,配達済み
202206040034-1,2022-06-04,C00001930,PA-AMGM,1,16500,2022-06-09,,配達済み
202206040016-1,2022-06-04,C00000731,PA-AMGL,1,16500,2022-06-07,,配達済み
202206040023-1,2022-06-04,C00001256,PA-BWWS,1,19800,2022-06-08,,配達済み
202206040008-1,2022-06-04,C00000594,CT-AWWM,2,82400,2022-06-09,,配達済み
202206040043-1,2022-06-04,C00002225,NI-CWBS,1,12400,2022-06-08,,配達済み
202206040042-1,2022-06-04,C00002225,TS-AWGL,2,17800,2022-06-06,,配達済み
202206040020-1,2022-06-04,C00000923,NI-AMWL,1,10000,2022-06-08,,配達済み
202206040030-1,2022-06-04,C00001691,NI-CWBM,2,24800,2022-06-09,,配達済み
202206040014-1,2022-06-04,C00000686,SB-CUNN,1,5890,2022-06-06,,配達済み
202206040002-2,2022-06-04,C00000122,PA-BWGS,1,19800,2022-06-06,,配達済み
202206040002-1,2022-06-04,C00000122,VE-BWWS,4,75600,2022-06-09,,配達済み
202206040005-1,2022-06-04,C00000420,PA-BMGS,3,60000,2022-06-06,,配達済み
202206040015-1,2022-06-04,C00000700,PA-CWWS,1,14300,2022-06-06,,配達済み
202206040026-1,2022-06-04,C00001441,BP-CUNN,1,12900,2022-06-09,,配達済み
202206040005-2,2022-06-04,C00000420,PA-AMGM,1,16500,2022-06-08,,配達済み
202206040000-1,2022-06-04,C00000032,HC-BUNN,2,1960,2022-06-06,,配達済み
202206040007-1,2022-06-04,C00000499,TO-AUNN,1,2280,2022-06-07,,配達済み
202206040039-1,2022-06-04,C00002053,TO-AUNN,1,2280,2022-06-09,,配達済み
202206040040-1,2022-06-04,C00002139,PA-BWWM,1,19800,2022-06-05,,配達済み
202206040035-1,2022-06-04,C00001936,HA-AUNN,1,5280,2022-06-06,,配達済み
202206040003-2,2022-06-04,C00000300,BP-AUNN,1,10200,2022-06-08,,配達済み
202206050045-1,2022-06-05,C00002040,PA-CMGS,1,14300,2022-06-07,,配達済み
202206050037-1,2022-06-05,C00001906,TB-AUNN,1,7800,2022-06-10,,配達済み
202206050022-1,2022-06-05,C00001296,PA-BWBS,1,19800,2022-06-07,,配達済み
202206050007-1,2022-06-05,C00000279,TO-AUNN,4,9120,2022-06-07,,配達済み
202206050043-1,2022-06-05,C00001933,TS-BWGM,1,7600,2022-06-12,,配達済み
202206050012-1,2022-06-05,C00000692,SW-CMGS,1,18400,2022-06-08,,配達済み
202206050036-2,2022-06-05,C00001852,NI-BWWM,1,15100,2022-06-12,,配達済み
202206050002-1,2022-06-05,C00000059,PA-CWGL,1,14300,2022-06-05,,配達済み
202206050010-1,2022-06-05,C00000625,PA-BWBL,2,39600,2022-06-10,,配達済み
202206050036-1,2022-06-05,C00001852,NI-AMGM,1,10000,2022-06-09,,配達済み
202206050030-1,2022-06-05,C00001792,TO-AUNN,1,2280,2022-06-05,,配達済み
202206050009-1,2022-06-05,C00000606,TS-CWBL,1,7600,2022-06-08,,配達済み
202206050013-1,2022-06-05,C00001014,NI-BMWM,1,14500,2022-06-11,,配達済み
202206050007-2,2022-06-05,C00000279,PA-BWBL,4,79200,2022-06-09,,配達済み
202206050015-1,2022-06-05,C00001092,PA-CWGS,1,14300,2022-06-12,,配達済み
202206050049-1,2022-06-05,C00002225,SB-CUNN,3,17670,2022-06-10,,配達済み
202206050024-1,2022-06-05,C00001556,SW-BMBM,1,15900,2022-06-05,,配達済み
202206050029-1,2022-06-05,C00001727,JA-AWWL,1,31900,2022-06-11,,配達済み
202206050005-1,2022-06-05,C00000167,PA-CWBM,1,14300,2022-06-12,,配達済み
202206050006-1,2022-06-05,C00000169,HA-AKNN,1,4300,2022-06-12,,配達済み
202206050047-1,2022-06-05,C00002214,NI-BWWL,1,15100,2022-06-09,,配達済み
202206050042-1,2022-06-05,C00001925,HC-BUNN,2,1960,2022-06-11,,配達済み
202206050023-1,2022-06-05,C00001310,TS-BWBM,1,7600,2022-06-09,,配達済み
202206050050-1,2022-06-05,C00002230,PA-CWBL,1,14300,2022-06-12,,配達済み
202206050020-1,2022-06-05,C00001146,JA-CMBS,3,62400,2022-06-09,,配達済み
202206050008-1,2022-06-05,C00000397,PA-BWBM,1,19800,2022-06-09,,配達済み
202206050044-1,2022-06-05,C00001946,NI-CWWS,2,24800,2022-06-09,,配達済み
202206050028-1,2022-06-05,C00001640,TO-BUNN,3,6540,2022-06-12,,配達済み
202206060014-1,2022-06-06,C00001348,PA-CWGS,1,14300,2022-06-06,,配達済み
202206060024-1,2022-06-06,C00002153,TS-CMWL,1,7600,2022-06-08,,配達済み
202206060012-1,2022-06-06,C00001310,VE-BMBS,1,18000,2022-06-12,,配達済み
202206060023-1,2022-06-06,C00002144,SB-BUNN,1,6800,2022-06-06,,配達済み
202206060002-1,2022-06-06,C00000344,SW-CWGS,1,18400,2022-06-06,,配達済み
202206060009-1,2022-06-06,C00000523,TS-AWGS,1,8900,2022-06-07,,配達済み
202206060016-1,2022-06-06,C00001843,TS-AKWL,2,8600,2022-06-13,,配達済み
202206060020-1,2022-06-06,C00002091,SK-AWWM,1,18100,2022-06-06,,配達済み
202206060015-1,2022-06-06,C00001458,BP-AKNN,1,7800,2022-06-12,,配達済み
202206060011-1,2022-06-06,C00000774,SW-CWGM,4,73600,2022-06-06,,配達済み
202206060006-1,2022-06-06,C00000456,PA-AMWL,1,16500,2022-06-15,,配達済み
202206060017-1,2022-06-06,C00001868,PA-BMBM,1,20000,2022-06-09,,配達済み
202206060025-1,2022-06-06,C00002173,HA-BUNN,1,4800,2022-06-09,,配達済み
202206080011-1,2022-06-08,C00000608,SB-AUNN,1,8800,2022-06-12,,配達済み
202206080014-1,2022-06-08,C00000654,HA-AKNN,1,4300,2022-06-13,,配達済み
202206080019-1,2022-06-08,C00001901,PA-BWWS,1,19800,2022-06-13,,配達済み
202206080016-1,2022-06-08,C00001409,BP-CUNN,1,12900,2022-06-13,,配達済み
202206080006-1,2022-06-08,C00000498,SK-AWBS,1,18100,2022-06-10,,配達済み
202206080021-1,2022-06-08,C00001978,HA-BUNN,1,4800,2022-06-13,,配達済み
202206080022-1,2022-06-08,C00002060,SW-BMWS,1,15900,2022-06-12,,配達済み
202206080008-1,2022-06-08,C00000566,TB-BUNN,1,9800,2022-06-11,,配達済み
202206080018-1,2022-06-08,C00001604,TS-AMBL,1,7900,2022-06-10,,配達済み
202206080000-1,2022-06-08,C00000100,TS-BWBM,1,7600,2022-06-10,,配達済み
202206080033-1,2022-06-08,C00002225,TS-CWWM,1,7600,2022-06-13,,配達済み
202206080007-1,2022-06-08,C00000560,HA-AUNN,1,5280,2022-06-10,,配達済み
202206080017-1,2022-06-08,C00001578,JA-AWWM,1,31900,2022-06-13,,配達済み
202206080005-1,2022-06-08,C00000408,PA-CWGS,1,14300,2022-06-11,,配達済み
202206080025-1,2022-06-08,C00002198,BP-AKNN,2,15600,2022-06-12,,配達済み
202206080001-1,2022-06-08,C00000173,PA-AMBL,2,33000,2022-06-13,,配達済み
202206080015-1,2022-06-08,C00001124,VE-AWBM,1,18900,2022-06-11,,配達済み
202206090006-1,2022-06-09,C00001042,SW-BWWL,1,15900,2022-06-14,,配達済み
202206090003-1,2022-06-09,C00000504,NI-CWGL,1,12400,2022-06-15,,配達済み
202206090005-1,2022-06-09,C00000781,SW-CMBM,4,73600,2022-06-15,,配達済み
202206090008-1,2022-06-09,C00001103,TS-CMWL,2,15200,2022-06-15,,配達済み
202206090008-3,2022-06-09,C00001103,PA-CWBL,1,14300,2022-06-14,,配達済み
202206090001-1,2022-06-09,C00000306,BP-AKNN,1,7800,2022-06-14,,配達済み
202206090008-2,2022-06-09,C00001103,PA-AMGS,1,16500,2022-06-14,,配達済み
202206100005-1,2022-06-10,C00000718,SK-AWBM,1,18100,2022-06-14,,配達済み
202206100011-2,2022-06-10,C00000977,SW-BWBS,1,15900,2022-06-17,,配達済み
202206100012-1,2022-06-10,C00001488,SK-AWBM,1,18100,2022-06-15,,配達済み
202206100007-1,2022-06-10,C00000772,PA-CWGM,3,42900,2022-06-14,,配達済み
202206100009-1,2022-06-10,C00000829,SW-AMBS,3,48000,2022-06-15,,配達済み
202206100011-1,2022-06-10,C00000977,HC-BUNN,1,980,2022-06-15,,配達済み
202206100000-1,2022-06-10,C00000333,CT-BWBL,2,70400,2022-06-13,,配達済み
202206100002-1,2022-06-10,C00000671,TS-CWGL,1,7600,2022-06-12,,配達済み
202206110009-1,2022-06-11,C00000669,SB-CUNN,1,5890,2022-06-17,,配達済み
202206110019-1,2022-06-11,C00001811,SB-BUNN,1,6800,2022-06-11,,配達済み
202206110002-1,2022-06-11,C00000220,NI-AWGM,1,11000,2022-06-16,,配達済み
202206110006-1,2022-06-11,C00000286,PA-AKWL,4,30400,2022-06-16,,配達済み
202206110013-1,2022-06-11,C00001485,NI-BWGM,1,15100,2022-06-12,,配達済み
202206110007-2,2022-06-11,C00000437,TS-AWWM,1,8900,2022-06-17,,配達済み
202206110011-2,2022-06-11,C00000928,SB-BUNN,1,6800,2022-06-15,,配達済み
202206110011-1,2022-06-11,C00000928,PA-CMWS,1,14300,2022-06-18,,配達済み
202206110008-1,2022-06-11,C00000634,SK-AWBS,1,18100,2022-06-15,,配達済み
202206110005-1,2022-06-11,C00000257,HC-BUNN,2,1960,2022-06-18,,配達済み
202206110000-1,2022-06-11,C00000027,SB-AUNN,1,8800,2022-06-16,,配達済み
202206110007-1,2022-06-11,C00000437,PA-BWBM,2,39600,2022-06-14,,配達済み
202206120018-1,2022-06-12,C00001388,NI-BWBL,1,15100,2022-06-15,,配達済み
202206120014-1,2022-06-12,C00001133,PA-CWGL,1,14300,2022-06-16,,配達済み
202206120019-1,2022-06-12,C00001630,HC-AUNN,1,1200,2022-06-20,,配達済み
202206120015-1,2022-06-12,C00001137,JA-CMGM,1,20800,2022-06-16,,配達済み
202206120000-1,2022-06-12,C00000059,TO-AUNN,1,2280,2022-06-16,,配達済み
202206120003-1,2022-06-12,C00000233,HC-BUNN,1,980,2022-06-16,,配達済み
202206120001-1,2022-06-12,C00000068,HA-AUNN,1,5280,2022-06-18,,配達済み
202206120004-1,2022-06-12,C00000344,BP-CUNN,2,25800,2022-06-14,,配達済み
202206120026-1,2022-06-12,C00001947,TS-AWBL,1,8900,2022-06-19,,配達済み
202206120004-2,2022-06-12,C00000344,PA-BWBL,1,19800,2022-06-14,,配達済み
202206120024-1,2022-06-12,C00001877,PA-CWBM,4,57200,2022-06-21,,配達済み
202206120007-1,2022-06-12,C00001077,BP-BUNN,2,19600,2022-06-18,,配達済み
202206120006-1,2022-06-12,C00000787,SB-CUNN,3,17670,2022-06-13,,配達済み
202206120010-1,2022-06-12,C00001115,PA-CWGS,1,14300,2022-06-20,,配達済み
202206120025-1,2022-06-12,C00001885,BP-AUNN,2,20400,2022-06-18,,配達済み
202206120028-1,2022-06-12,C00001967,TO-AUNN,1,2280,2022-06-18,,配達済み
202206130015-1,2022-06-13,C00000968,TB-BUNN,1,9800,2022-06-17,,配達済み
202206130007-1,2022-06-13,C00000327,JA-BMWS,1,19400,2022-06-17,,配達済み
202206130002-1,2022-06-13,C00000141,PA-AMWS,2,33000,2022-06-17,,配達済み
202206130022-1,2022-06-13,C00001782,VE-BWWS,1,18900,2022-06-17,,配達済み
202206130028-1,2022-06-13,C00001994,PA-AMWM,1,16500,2022-06-15,,配達済み
202206130009-3,2022-06-13,C00000601,PA-AMGS,1,16500,2022-06-18,,配達済み
202206130009-2,2022-06-13,C00000601,TB-BUNN,1,9800,2022-06-17,,配達済み
202206130017-1,2022-06-13,C00001252,TS-BWWL,1,7600,2022-06-20,,配達済み
202206130029-1,2022-06-13,C00002077,PA-BWBL,1,19800,2022-06-16,,配達済み
202206130009-1,2022-06-13,C00000601,TS-AKWM,1,4300,2022-06-17,,配達済み
202206130023-1,2022-06-13,C00001828,NI-BWWM,1,15100,2022-06-19,,配達済み
202206130023-2,2022-06-13,C00001828,BP-BUNN,1,9800,2022-06-17,,配達済み
202206130016-1,2022-06-13,C00001159,TO-BUNN,1,2180,2022-06-18,,配達済み
202206130006-1,2022-06-13,C00000250,PA-CWBS,1,14300,2022-06-19,,配達済み
202206130021-1,2022-06-13,C00001294,HC-AUNN,2,2400,2022-06-16,,配達済み
202206130011-1,2022-06-13,C00000953,NI-CMGL,1,12300,2022-06-16,2022-06-17,キャンセル
202206130001-1,2022-06-13,C00000072,SW-CWBL,1,18400,2022-06-17,2022-06-17,キャンセル
202206130026-1,2022-06-13,C00001983,SW-AWBS,1,17600,2022-06-18,,配達済み
202206150008-1,2022-06-15,C00000100,HC-BUNN,1,980,2022-06-21,,配達済み
202206150049-1,2022-06-15,C00001610,TS-CMWS,1,7600,2022-06-16,,配達済み
202206150023-1,2022-06-15,C00000522,PA-BWWM,1,19800,2022-06-17,,配達済み
202206150024-2,2022-06-15,C00000533,NI-BWGS,1,15100,2022-06-19,,配達済み
202206150033-1,2022-06-15,C00001149,SB-CUNN,1,5890,2022-06-18,,配達済み
202206150002-1,2022-06-15,C00000027,BP-AUNN,1,10200,2022-06-17,,配達済み
202206150035-1,2022-06-15,C00001243,VE-BMBM,1,18000,2022-06-20,,配達済み
202206150011-1,2022-06-15,C00000102,NI-CMBS,1,12300,2022-06-18,,配達済み
202206150024-1,2022-06-15,C00000533,SB-AUNN,1,8800,2022-06-16,,配達済み
202206150017-1,2022-06-15,C00000312,PA-BWWS,1,19800,2022-06-22,,配達済み
202206150014-1,2022-06-15,C00000258,JA-BMBS,1,19400,2022-06-19,,配達済み
202206150021-1,2022-06-15,C00000416,NI-BMGM,1,14500,2022-06-21,,配達済み
202206150053-1,2022-06-15,C00002108,SB-BUNN,1,6800,2022-06-20,,配達済み
202206150015-1,2022-06-15,C00000311,PA-CMGS,1,14300,2022-06-19,,配達済み
202206150022-1,2022-06-15,C00000498,TS-AWGM,2,17800,2022-06-19,,配達済み
202206150036-1,2022-06-15,C00001309,HA-BUNN,1,4800,2022-06-18,,配達済み
202206150030-1,2022-06-15,C00001017,TB-AUNN,1,7800,2022-06-18,,配達済み
202206150042-2,2022-06-15,C00001524,JA-AKWS,1,17000,2022-06-20,,配達済み
202206150028-1,2022-06-15,C00000767,SB-BUNN,2,13600,2022-06-22,,配達済み
202206150020-1,2022-06-15,C00000373,TS-CWWS,1,7600,2022-06-21,,配達済み
202206150027-1,2022-06-15,C00000674,BP-CUNN,1,12900,2022-06-20,,配達済み
202206150042-1,2022-06-15,C00001524,SW-CWGM,4,73600,2022-06-20,,配達済み
202206150021-2,2022-06-15,C00000416,SW-CMBM,1,18400,2022-06-20,,配達済み
202206150025-1,2022-06-15,C00000642,PA-CWWM,1,14300,2022-06-18,,配達済み
202206150029-1,2022-06-15,C00000834,SK-AWGM,1,18100,2022-06-19,,配達済み
202206150052-1,2022-06-15,C00002004,TB-AUNN,1,7800,2022-06-17,,配達済み
202206150006-1,2022-06-15,C00000039,TO-BUNN,1,2180,2022-06-19,,配達済み
202206150037-1,2022-06-15,C00001481,JA-CWGS,1,22100,2022-06-19,,配達済み
202206150050-1,2022-06-15,C00001759,PA-AMWS,1,16500,2022-06-19,,配達済み
202206150047-1,2022-06-15,C00001597,CT-AWGS,1,41200,2022-06-18,,配達済み
202206160024-1,2022-06-16,C00002031,TO-AUNN,2,4560,2022-06-22,,配達済み
202206160002-1,2022-06-16,C00000325,SB-CUNN,1,5890,2022-06-19,,配達済み
202206160025-1,2022-06-16,C00002183,SW-AKGL,1,7600,2022-06-20,,配達済み
202206160012-1,2022-06-16,C00000573,NI-CWGL,1,12400,2022-06-21,,配達済み
202206160000-1,2022-06-16,C00000064,PA-AMWL,1,16500,2022-06-18,,配達済み
202206160016-1,2022-06-16,C00000932,TS-BMGS,1,8700,2022-06-22,,配達済み
202206160019-1,2022-06-16,C00001250,VE-BWGM,1,18900,2022-06-19,,配達済み
202206160004-1,2022-06-16,C00000496,TB-AUNN,1,7800,2022-06-20,,配達済み
202206160023-1,2022-06-16,C00001726,TS-BWGS,1,7600,2022-06-23,,配達済み
202206160015-1,2022-06-16,C00000831,TB-AUNN,1,7800,2022-06-22,,配達済み
202206160017-1,2022-06-16,C00000976,PA-BMWS,3,60000,2022-06-18,,配達済み
202206160007-2,2022-06-16,C00000510,NI-BWBM,1,15100,2022-06-24,,配達済み
202206160007-1,2022-06-16,C00000510,PA-BWGL,1,19800,2022-06-23,,配達済み
202206160018-1,2022-06-16,C00001221,TS-BWBS,1,7600,2022-06-23,,配達済み
202206170020-1,2022-06-17,C00001654,NI-BMBS,1,14500,2022-06-22,,配達済み
202206170017-1,2022-06-17,C00001396,PA-BMWS,1,20000,2022-06-22,,配達済み
202206170025-1,2022-06-17,C00001996,TB-BUNN,1,9800,2022-06-22,,配達済み
202206170002-1,2022-06-17,C00000095,NI-BMBM,1,14500,2022-06-20,,配達済み
202206170016-1,2022-06-17,C00001334,JA-BMBL,1,19400,2022-06-20,,配達済み
202206170007-1,2022-06-17,C00000409,SB-BUNN,1,6800,2022-06-21,,配達済み
202206170023-1,2022-06-17,C00001761,TO-AUNN,1,2280,2022-06-23,,配達済み
202206170003-1,2022-06-17,C00000144,NI-BMGL,1,14500,2022-06-22,,配達済み
202206170007-2,2022-06-17,C00000409,TO-BUNN,1,2180,2022-06-23,,配達済み
202206170004-1,2022-06-17,C00000317,NI-AMBL,1,10000,2022-06-24,,配達済み
202206170022-1,2022-06-17,C00001752,PA-BWWM,1,19800,2022-06-22,,配達済み
202206170014-1,2022-06-17,C00000814,NI-BWBM,2,30200,2022-06-22,,配達済み
202206170022-2,2022-06-17,C00001752,TS-CWBS,1,7600,2022-06-23,,配達済み
202206170013-1,2022-06-17,C00000628,CT-AWGL,1,41200,2022-06-22,,配達済み
202206170015-1,2022-06-17,C00001223,SB-CUNN,1,5890,2022-06-25,,配達済み
202206180037-1,2022-06-18,C00001068,BP-CUNN,2,25800,2022-06-22,,配達済み
202206180026-2,2022-06-18,C00000928,NI-CMGS,1,12300,2022-06-22,,配達済み
202206180013-1,2022-06-18,C00000677,NI-CMGM,3,36900,2022-06-22,,配達済み
202206180043-1,2022-06-18,C00001207,TS-CWBL,1,7600,2022-06-20,,配達済み
202206180051-1,2022-06-18,C00001932,TO-BUNN,1,2180,2022-06-25,,配達済み
202206180050-1,2022-06-18,C00001920,PA-BMGS,1,20000,2022-06-21,,配達済み
202206180048-1,2022-06-18,C00001459,SW-BWWL,1,15900,2022-06-20,,配達済み
202206180010-1,2022-06-18,C00000560,NI-CWBL,1,12400,2022-06-24,,配達済み
202206180045-1,2022-06-18,C00001318,TS-AWWL,1,8900,2022-06-25,,配達済み
202206180052-1,2022-06-18,C00001944,HC-AUNN,1,1200,2022-06-25,,配達済み
202206180033-1,2022-06-18,C00001023,PA-BWWL,1,19800,2022-06-23,,配達済み
202206180023-1,2022-06-18,C00000900,SK-AWWM,1,18100,2022-06-25,,配達済み
202206180049-1,2022-06-18,C00001690,HC-BUNN,1,980,2022-06-23,,配達済み
202206180003-1,2022-06-18,C00000137,PA-CWBL,1,14300,2022-06-24,,配達済み
202206180005-1,2022-06-18,C00000137,TB-BUNN,2,19600,2022-06-19,,配達済み
202206180015-1,2022-06-18,C00000690,PA-CMGS,1,14300,2022-06-24,,配達済み
202206180034-1,2022-06-18,C00001064,TB-BUNN,1,9800,2022-06-24,,配達済み
202206180042-1,2022-06-18,C00001191,HA-AUNN,1,5280,2022-06-24,,配達済み
202206180047-1,2022-06-18,C00001364,HA-BUNN,1,4800,2022-06-22,,配達済み
202206180060-1,2022-06-18,C00002144,BP-CUNN,1,12900,2022-06-24,,配達済み
202206180020-1,2022-06-18,C00000753,TO-BUNN,3,6540,2022-06-23,,配達済み
202206180007-1,2022-06-18,C00000149,NI-BMGL,1,14500,2022-06-25,,配達済み
202206180040-1,2022-06-18,C00001183,SK-AWBL,1,18100,2022-06-22,,配達済み
202206180044-2,2022-06-18,C00001286,NI-CWWS,1,12400,2022-06-24,,配達済み
202206180054-1,2022-06-18,C00002084,PA-BWGL,1,19800,2022-06-20,,配達済み
202206180009-1,2022-06-18,C00000296,PA-CMGS,1,14300,2022-06-22,,配達済み
202206180001-1,2022-06-18,C00000035,SK-AWWS,1,18100,2022-06-21,,配達済み
202206180053-1,2022-06-18,C00002045,PA-AMBM,1,16500,2022-06-25,,配達済み
202206180016-1,2022-06-18,C00000731,PA-AMGS,1,16500,2022-06-23,,配達済み
202206180026-1,2022-06-18,C00000928,PA-CMWL,1,14300,2022-06-23,,配達済み
202206180057-1,2022-06-18,C00002090,NI-CMWL,1,12300,2022-06-18,,配達済み
202206180029-1,2022-06-18,C00000981,HA-BUNN,1,4800,2022-06-23,,配達済み
202206180044-1,2022-06-18,C00001286,TB-AUNN,2,15600,2022-06-24,,配達済み
202206190001-1,2022-06-19,C00000246,SW-AWGS,1,17600,2022-06-20,,配達済み
202206190020-1,2022-06-19,C00002188,SB-CUNN,1,5890,2022-06-23,,配達済み
202206190019-1,2022-06-19,C00002177,TS-AWWL,1,8900,2022-06-21,,配達済み
202206190013-1,2022-06-19,C00001874,SW-CMWS,1,18400,2022-06-23,,配達済み
202206190009-1,2022-06-19,C00000564,BP-CUNN,1,12900,2022-06-21,,配達済み
202206190005-1,2022-06-19,C00000430,TS-BMWL,1,8700,2022-06-19,,配達済み
202206190014-1,2022-06-19,C00001966,TS-BMBL,1,8700,2022-06-19,,配達済み
202206190010-1,2022-06-19,C00001400,PA-CWWS,1,14300,2022-06-21,,配達済み
202206190011-1,2022-06-19,C00001729,PA-AKGM,1,7600,2022-06-23,,配達済み
202206190016-1,2022-06-19,C00002026,PA-AMWL,1,16500,2022-06-19,,配達済み
202206190008-1,2022-06-19,C00000561,PA-BMGM,1,20000,2022-06-26,,配達済み
202206200008-2,2022-06-20,C00001896,JA-AKBL,1,17000,2022-06-21,,配達済み
202206200008-1,2022-06-20,C00001896,TS-AMWM,1,7900,2022-06-21,,配達済み
202206200004-2,2022-06-20,C00000793,SB-BUNN,1,6800,2022-06-23,,配達済み
202206200004-1,2022-06-20,C00000793,VE-CWBM,1,16800,2022-06-21,,配達済み
